Redwall (Redwall, #1),49,10
Jonathan Strange & Mr Norrell,111,8
Dragonflight (Dragonriders of Pern, #1),127,10
The Maze Runner (The Maze Runner, #1),252,9
City of Ashes (The Mortal Instruments, #2),134,7
Magician: Apprentice (The Riftwar Saga, #1),321,10
Dark Lover (Black Dagger Brotherhood, #1),280,8
Alanna: The First Adventure (Song of the Lioness, #1),126,10
A Canticle for Leibowitz (St. Leibowitz, #1),133,9
Old Man's War (Old Man's War, #1),193,9
The Princess Bride,163,9
Neuromancer (Sprawl, #1),177,10
Nine Princes in Amber (The Chronicles of Amber #1),31,10
Magic Bites (Kate Daniels, #1),182,10
Kushiel's Dart (Phèdre's Trilogy, #1),269,9
The High King (The Chronicles of Prydain #5),322,9
Pyramids (Discworld, #7),329,10
Ship of Magic (Liveship Traders, #1),335,8
City of Lost Souls (The Mortal Instruments, #5),134,7
Lover Awakened (Black Dagger Brotherhood, #3),177,10
The Host (The Host, #1),48,10
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1),278,10
Rendezvous with Rama (Rama, #1),231,10
Leviathan Wakes (The Expanse, #1),1000,1
Throne of Glass (Throne of Glass, #1),335,10
Angelfall (Penryn & the End of Days, #1),282,8
The Fifth Season (The Broken Earth, #1),213,9
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,225,8
The Dispossessed (Hainish Cycle #6),71,10
adventures of wallanders,39,7
The Once and Future King (The Once and Future King, #1-4),137,8
The Foundation Trilogy (Foundation, #1-3),213,10
The Octunnumi Fosbit Files Prologue,30,9
Snow Crash,272,8
Written in Red (The Others, #1),71,10
The Ship Who Sang (Brainship, #1),39,10
The Voyage of the Dawn Treader (Chronicles of Narnia, #3),49,8
A Face Like Glass,320,10
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,246,10
Harry Potter and the Sorcerer's Stone (Harry Potter, #1),126,9
The Hobbit or There and Back Again,318,7
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1),197,0
The Hunger Games (The Hunger Games, #1),201,10
The Lord of the Rings (The Lord of the Rings, #1-3),182,8
Alice in Wonderland,45,7
Dune (Dune Chronicles, #1),13,10
The Final Empire (Mistborn, #1),177,10
The Lightning Thief (Percy Jackson and the Olympians, #1),335,9
1985,184,10
A Clash of Kings  (A Song of Ice and Fire, #2),174,9
The Golden Compass (His Dark Materials, #1),140,10
The Handmaid's Tale,71,9
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5),174,7
The Little Prince,126,10
The Chronicles of Narnia (Chronicles of Narnia, #1-7),161,8
Archibald Finch and the Lost Witches (Book 1, illustrated),176,9
The Giver (The Giver, #1),191,8
The Way of Kings (The Stormlight Archive, #1),44,9
The Wonderful Wizard of Oz (Oz, #1),134,10
Ready Player One,191,8
Fahrenheit 452,127,10
Neverwhere (London Below, #1),329,6
Alice's Adventures in Wonderland & Through the Looking-Glass,174,10
A Wrinkle in Time (Time Quintet, #1),263,9
The Name of the Wind (The Kingkiller Chronicle, #1),97,10
Divergent (Divergent, #1),234,10
Harry Potter and the Order of the Phoenix (Harry Potter, #5),366,0
City of Bones (The Mortal Instruments, #1),118,5
Ender's Game (Ender's Saga, #1),242,7
Six of Crows (Six of Crows, #1),71,10
The Wheel of Time: Boxed Set  (Wheel of Time, #1-8),32,10
Shadow and Bone (The Shadow and Bone Trilogy, #1),71,7
Gulliver's Travels,48,10
American Gods (American Gods #1),276,10
The Gunslinger (The Dark Tower, #1),273,8
The Colour of Magic (Discworld, #1),129,6
A Darker Shade of Magic (Shades of Magic, #1),118,6
The Night Circus,138,8
Cinder (The Lunar Chronicles, #1),99,10
Lord of the Flies,234,10
Watership Down (Watership Down, #1),140,10
Brave New World,13,7
A Game of Villains (World of Karik, #1),221,6
A Song of Ice and Fire (A Song of Ice and Fire, #1-5),325,9
Graceling (Graceling Realm, #1),438,10
Howl's Moving Castle (Howl's Moving Castle, #1),168,10
Inkheart (Inkworld, #1),1001,1
The Phantom Tollbooth,71,10
The Neverending Story,215,10
The BFG,1000,0
Twilight (Twilight, #1),32,10
The Left Hand of Darkness (Hainish Cycle #4),97,8
A Court of Thorns and Roses (A Court of Thorns and Roses, #1),298,7
A Wizard of Earthsea (Earthsea Cycle, #1),135,10
Eragon (The Inheritance Cycle, #1),276,7
The Lies of Locke Lamora (Gentleman Bastard, #1),163,8
Stardust,213,8
Sabriel,39,10
Do Androids Dream of Electric Sheep? (Blade Runner, #1),213,10
Harry Potter and the Chamber of Secrets (Harry Potter, #2),126,10
Redwall (Redwall, #1),323,10
Jonathan Strange & Mr Norrell,24,8
Dragonflight (Dragonriders of Pern, #1),127,8
The Maze Runner (The Maze Runner, #1),12,10
City of Ashes (The Mortal Instruments, #2),158,10
Magician: Apprentice (The Riftwar Saga, #1),280,9
Dark Lover (Black Dagger Brotherhood, #1),127,10
Alanna: The First Adventure (Song of the Lioness, #1),385,10
A Canticle for Leibowitz (St. Leibowitz, #1),122,4
Old Man's War (Old Man's War, #1),32,10
The Princess Bride,1000,1
Neuromancer (Sprawl, #1),201,10
Nine Princes in Amber (The Chronicles of Amber #1),71,7
Magic Bites (Kate Daniels, #1),330,6
Kushiel's Dart (Phèdre's Trilogy, #1),282,9
The High King (The Chronicles of Prydain #5),138,9
Pyramids (Discworld, #7),187,9
Ship of Magic (Liveship Traders, #1),408,9
City of Lost Souls (The Mortal Instruments, #5),177,10
Lover Awakened (Black Dagger Brotherhood, #3),225,9
The Host (The Host, #1),161,10
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1),210,8
Rendezvous with Rama (Rama, #1),135,7
Leviathan Wakes (The Expanse, #1),161,10
Throne of Glass (Throne of Glass, #1),44,10
Angelfall (Penryn & the End of Days, #1),177,8
The Fifth Season (The Broken Earth, #1),372,10
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,71,10
The Dispossessed (Hainish Cycle #6),71,8
adventures of wallanders,49,10
The Once and Future King (The Once and Future King, #1-4),164,10
The Foundation Trilogy (Foundation, #1-3),178,8
The Octunnumi Fosbit Files Prologue,1000,1
Snow Crash,32,10
Written in Red (The Others, #1),176,10
The Ship Who Sang (Brainship, #1),161,10
The Voyage of the Dawn Treader (Chronicles of Narnia, #3),242,6
A Face Like Glass,257,8
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,208,10
Harry Potter and the Sorcerer's Stone (Harry Potter, #1),235,9
The Hobbit or There and Back Again,206,7
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1),133,9
The Hunger Games (The Hunger Games, #1),39,10
The Lord of the Rings (The Lord of the Rings, #1-3),127,8
Alice in Wonderland,213,8
Dune (Dune Chronicles, #1),234,9
The Final Empire (Mistborn, #1),161,10
The Lightning Thief (Percy Jackson and the Olympians, #1),174,8
1986,174,9
A Clash of Kings  (A Song of Ice and Fire, #2),174,9
The Golden Compass (His Dark Materials, #1),229,10
The Handmaid's Tale,161,7
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5),276,8
The Little Prince,201,10
The Chronicles of Narnia (Chronicles of Narnia, #1-7),242,9
Archibald Finch and the Lost Witches (Book 1, illustrated),49,9
The Giver (The Giver, #1),134,9
The Way of Kings (The Stormlight Archive, #1),111,9
The Wonderful Wizard of Oz (Oz, #1),304,10
Ready Player One,171,7
Fahrenheit 453,187,10
Neverwhere (London Below, #1),305,10
Alice's Adventures in Wonderland & Through the Looking-Glass,39,10
A Wrinkle in Time (Time Quintet, #1),97,10
The Name of the Wind (The Kingkiller Chronicle, #1),129,10
Divergent (Divergent, #1),187,9
Harry Potter and the Order of the Phoenix (Harry Potter, #5),24,10
City of Bones (The Mortal Instruments, #1),260,7
Ender's Game (Ender's Saga, #1),118,6
Six of Crows (Six of Crows, #1),127,5
The Wheel of Time: Boxed Set  (Wheel of Time, #1-8),140,10
Shadow and Bone (The Shadow and Bone Trilogy, #1),135,10
Gulliver's Travels,49,9
American Gods (American Gods #1),177,9
The Gunslinger (The Dark Tower, #1),148,10
The Colour of Magic (Discworld, #1),6,9
A Darker Shade of Magic (Shades of Magic, #1),271,10
The Night Circus,120,7
Cinder (The Lunar Chronicles, #1),126,10
Lord of the Flies,14,7
Watership Down (Watership Down, #1),234,8
Brave New World,188,10
A Game of Villains (World of Karik, #1),328,10
A Song of Ice and Fire (A Song of Ice and Fire, #1-5),127,8
Graceling (Graceling Realm, #1),220,6
Howl's Moving Castle (Howl's Moving Castle, #1),161,10
Inkheart (Inkworld, #1),220,8
The Phantom Tollbooth,147,9
The Neverending Story,186,9
The BFG,39,10
Twilight (Twilight, #1),141,10
The Left Hand of Darkness (Hainish Cycle #4),134,9
A Court of Thorns and Roses (A Court of Thorns and Roses, #1),433,10
A Wizard of Earthsea (Earthsea Cycle, #1),169,10
Eragon (The Inheritance Cycle, #1),161,8
The Lies of Locke Lamora (Gentleman Bastard, #1),177,10
Stardust,182,10
Sabriel,137,10
Do Androids Dream of Electric Sheep? (Blade Runner, #1),13,8
Harry Potter and the Chamber of Secrets (Harry Potter, #2),45,9
Redwall (Redwall, #1),142,10
Jonathan Strange & Mr Norrell,354,10
Dragonflight (Dragonriders of Pern, #1),71,7
The Maze Runner (The Maze Runner, #1),10,8
City of Ashes (The Mortal Instruments, #2),225,10
Magician: Apprentice (The Riftwar Saga, #1),127,5
Dark Lover (Black Dagger Brotherhood, #1),178,9
Alanna: The First Adventure (Song of the Lioness, #1),271,10
A Canticle for Leibowitz (St. Leibowitz, #1),328,10
Old Man's War (Old Man's War, #1),161,10
The Princess Bride,14,8
Neuromancer (Sprawl, #1),277,9
Nine Princes in Amber (The Chronicles of Amber #1),137,10
Magic Bites (Kate Daniels, #1),134,10
Kushiel's Dart (Phèdre's Trilogy, #1),165,7
The High King (The Chronicles of Prydain #5),210,10
Pyramids (Discworld, #7),276,7
Ship of Magic (Liveship Traders, #1),177,10
City of Lost Souls (The Mortal Instruments, #5),122,10
Lover Awakened (Black Dagger Brotherhood, #3),137,10
The Host (The Host, #1),284,5
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1),49,10
Rendezvous with Rama (Rama, #1),191,8
Leviathan Wakes (The Expanse, #1),1001,1
Throne of Glass (Throne of Glass, #1),173,9
Angelfall (Penryn & the End of Days, #1),215,10
The Fifth Season (The Broken Earth, #1),183,8
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,126,10
The Dispossessed (Hainish Cycle #6),324,9
adventures of wallanders,184,7
The Once and Future King (The Once and Future King, #1-4),138,10
The Foundation Trilogy (Foundation, #1-3),28,8
The Octunnumi Fosbit Files Prologue,156,4
Snow Crash,1001,1
Written in Red (The Others, #1),354,10
The Ship Who Sang (Brainship, #1),1000,0
The Voyage of the Dawn Treader (Chronicles of Narnia, #3),174,8
A Face Like Glass,134,10
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,135,6
Harry Potter and the Sorcerer's Stone (Harry Potter, #1),49,10
The Hobbit or There and Back Again,251,9
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1),269,8
The Hunger Games (The Hunger Games, #1),126,9
The Lord of the Rings (The Lord of the Rings, #1-3),30,10
Alice in Wonderland,1000,0
Dune (Dune Chronicles, #1),186,10
The Final Empire (Mistborn, #1),257,10
The Lightning Thief (Percy Jackson and the Olympians, #1),188,10
1987,231,10
A Clash of Kings  (A Song of Ice and Fire, #2),178,8
The Golden Compass (His Dark Materials, #1),296,9
The Handmaid's Tale,129,9
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5),71,7
The Little Prince,126,10
The Chronicles of Narnia (Chronicles of Narnia, #1-7),1000,0
Archibald Finch and the Lost Witches (Book 1, illustrated),174,10
The Giver (The Giver, #1),171,9
The Way of Kings (The Stormlight Archive, #1),49,9
The Wonderful Wizard of Oz (Oz, #1),147,8
Ready Player One,198,10
Fahrenheit 454,10,10
Neverwhere (London Below, #1),257,9
Alice's Adventures in Wonderland & Through the Looking-Glass,177,9
A Wrinkle in Time (Time Quintet, #1),1001,1
The Name of the Wind (The Kingkiller Chronicle, #1),186,9
Divergent (Divergent, #1),280,8
Harry Potter and the Order of the Phoenix (Harry Potter, #5),276,8
City of Bones (The Mortal Instruments, #1),330,10
Ender's Game (Ender's Saga, #1),178,10
Six of Crows (Six of Crows, #1),137,7
The Wheel of Time: Boxed Set  (Wheel of Time, #1-8),10,8
Shadow and Bone (The Shadow and Bone Trilogy, #1),183,9
Gulliver's Travels,141,10
American Gods (American Gods #1),10,7
The Gunslinger (The Dark Tower, #1),335,10
The Colour of Magic (Discworld, #1),158,10
A Darker Shade of Magic (Shades of Magic, #1),165,10
The Night Circus,185,8
Cinder (The Lunar Chronicles, #1),234,9
Lord of the Flies,180,9
Watership Down (Watership Down, #1),174,8
Brave New World,48,10
A Game of Villains (World of Karik, #1),127,8
A Song of Ice and Fire (A Song of Ice and Fire, #1-5),99,8
Graceling (Graceling Realm, #1),258,8
Howl's Moving Castle (Howl's Moving Castle, #1),277,10
Inkheart (Inkworld, #1),161,9
The Phantom Tollbooth,71,7
The Neverending Story,13,9
The BFG,71,8
Twilight (Twilight, #1),324,8
The Left Hand of Darkness (Hainish Cycle #4),165,9
A Court of Thorns and Roses (A Court of Thorns and Roses, #1),177,9
A Wizard of Earthsea (Earthsea Cycle, #1),328,10
Eragon (The Inheritance Cycle, #1),186,10
The Lies of Locke Lamora (Gentleman Bastard, #1),134,10
Stardust,138,10
Sabriel,10,10
Do Androids Dream of Electric Sheep? (Blade Runner, #1),122,10
Harry Potter and the Chamber of Secrets (Harry Potter, #2),1000,0
Redwall (Redwall, #1),280,9
Jonathan Strange & Mr Norrell,174,10
Dragonflight (Dragonriders of Pern, #1),142,8
The Maze Runner (The Maze Runner, #1),165,9
City of Ashes (The Mortal Instruments, #2),137,7
Magician: Apprentice (The Riftwar Saga, #1),342,5
Dark Lover (Black Dagger Brotherhood, #1),210,10
Alanna: The First Adventure (Song of the Lioness, #1),173,10
A Canticle for Leibowitz (St. Leibowitz, #1),161,10
Old Man's War (Old Man's War, #1),305,10
The Princess Bride,177,8
Neuromancer (Sprawl, #1),225,10
Nine Princes in Amber (The Chronicles of Amber #1),182,10
Magic Bites (Kate Daniels, #1),134,9
Kushiel's Dart (Phèdre's Trilogy, #1),120,8
The High King (The Chronicles of Prydain #5),234,10
Pyramids (Discworld, #7),214,10
Ship of Magic (Liveship Traders, #1),210,10
City of Lost Souls (The Mortal Instruments, #5),372,8
Lover Awakened (Black Dagger Brotherhood, #3),161,9
The Host (The Host, #1),321,10
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1),193,10
Rendezvous with Rama (Rama, #1),10,3
Leviathan Wakes (The Expanse, #1),177,10
Throne of Glass (Throne of Glass, #1),1000,1
Angelfall (Penryn & the End of Days, #1),126,7
The Fifth Season (The Broken Earth, #1),127,9
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,171,5
The Dispossessed (Hainish Cycle #6),45,7
adventures of wallanders,163,10
The Once and Future King (The Once and Future King, #1-4),156,10
The Foundation Trilogy (Foundation, #1-3),210,9
The Octunnumi Fosbit Files Prologue,174,10
Snow Crash,126,10
Written in Red (The Others, #1),271,10
The Ship Who Sang (Brainship, #1),134,9
The Voyage of the Dawn Treader (Chronicles of Narnia, #3),180,9
A Face Like Glass,212,7
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,195,5
Harry Potter and the Sorcerer's Stone (Harry Potter, #1),370,10
The Hobbit or There and Back Again,105,8
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1),1000,1
The Hunger Games (The Hunger Games, #1),49,9
The Lord of the Rings (The Lord of the Rings, #1-3),206,6
Alice in Wonderland,156,10
Dune (Dune Chronicles, #1),71,10
The Final Empire (Mistborn, #1),289,8
The Lightning Thief (Percy Jackson and the Olympians, #1),201,7
1988,321,5
A Clash of Kings  (A Song of Ice and Fire, #2),49,10
The Golden Compass (His Dark Materials, #1),312,9
The Handmaid's Tale,135,10
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5),216,9
The Little Prince,118,9
The Chronicles of Narnia (Chronicles of Narnia, #1-7),222,5
Archibald Finch and the Lost Witches (Book 1, illustrated),357,10
The Giver (The Giver, #1),408,7
The Way of Kings (The Stormlight Archive, #1),234,10
The Wonderful Wizard of Oz (Oz, #1),125,6
Ready Player One,338,10
Fahrenheit 455,126,10
Neverwhere (London Below, #1),193,10
Alice's Adventures in Wonderland & Through the Looking-Glass,49,10
A Wrinkle in Time (Time Quintet, #1),234,9
The Name of the Wind (The Kingkiller Chronicle, #1),208,8
Divergent (Divergent, #1),14,7
Harry Potter and the Order of the Phoenix (Harry Potter, #5),306,10
City of Bones (The Mortal Instruments, #1),39,8
Ender's Game (Ender's Saga, #1),346,10
Six of Crows (Six of Crows, #1),135,9
The Wheel of Time: Boxed Set  (Wheel of Time, #1-8),39,10
Shadow and Bone (The Shadow and Bone Trilogy, #1),141,8
Gulliver's Travels,260,10
American Gods (American Gods #1),126,10
The Gunslinger (The Dark Tower, #1),234,8
The Colour of Magic (Discworld, #1),193,10
A Darker Shade of Magic (Shades of Magic, #1),257,10
The Night Circus,234,9
Cinder (The Lunar Chronicles, #1),234,9
Lord of the Flies,129,8
Watership Down (Watership Down, #1),134,10
Brave New World,174,9
A Game of Villains (World of Karik, #1),127,9
A Song of Ice and Fire (A Song of Ice and Fire, #1-5),107,8
Graceling (Graceling Realm, #1),141,8
Howl's Moving Castle (Howl's Moving Castle, #1),248,7
Inkheart (Inkworld, #1),141,10
The Phantom Tollbooth,134,10
The Neverending Story,135,8
The BFG,39,10
Twilight (Twilight, #1),174,9
The Left Hand of Darkness (Hainish Cycle #4),13,7
A Court of Thorns and Roses (A Court of Thorns and Roses, #1),174,9
A Wizard of Earthsea (Earthsea Cycle, #1),275,4
Eragon (The Inheritance Cycle, #1),24,9
The Lies of Locke Lamora (Gentleman Bastard, #1),44,8
Stardust,1000,1
Sabriel,338,10
Do Androids Dream of Electric Sheep? (Blade Runner, #1),14,4
Harry Potter and the Chamber of Secrets (Harry Potter, #2),1001,0
Redwall (Redwall, #1),49,10
Jonathan Strange & Mr Norrell,71,10
Dragonflight (Dragonriders of Pern, #1),32,8
The Maze Runner (The Maze Runner, #1),142,8
City of Ashes (The Mortal Instruments, #2),359,10
Magician: Apprentice (The Riftwar Saga, #1),127,9
Dark Lover (Black Dagger Brotherhood, #1),319,8
Alanna: The First Adventure (Song of the Lioness, #1),141,9
A Canticle for Leibowitz (St. Leibowitz, #1),288,9
Old Man's War (Old Man's War, #1),163,8
The Princess Bride,396,10
Neuromancer (Sprawl, #1),236,10
Nine Princes in Amber (The Chronicles of Amber #1),182,10
Magic Bites (Kate Daniels, #1),335,10
Kushiel's Dart (Phèdre's Trilogy, #1),125,10
The High King (The Chronicles of Prydain #5),274,4
Pyramids (Discworld, #7),44,8
Ship of Magic (Liveship Traders, #1),258,5
City of Lost Souls (The Mortal Instruments, #5),318,9
Lover Awakened (Black Dagger Brotherhood, #3),133,10
The Host (The Host, #1),49,8
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1),328,10
Rendezvous with Rama (Rama, #1),335,10
Leviathan Wakes (The Expanse, #1),180,10
Throne of Glass (Throne of Glass, #1),185,9
Angelfall (Penryn & the End of Days, #1),286,7
The Fifth Season (The Broken Earth, #1),24,8
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,45,10
The Dispossessed (Hainish Cycle #6),38,10
adventures of wallanders,318,10
The Once and Future King (The Once and Future King, #1-4),147,10
The Foundation Trilogy (Foundation, #1-3),214,7
The Octunnumi Fosbit Files Prologue,46,3
Snow Crash,251,10
Written in Red (The Others, #1),71,10
The Ship Who Sang (Brainship, #1),317,9
The Voyage of the Dawn Treader (Chronicles of Narnia, #3),323,10
A Face Like Glass,42,7
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,32,10
Harry Potter and the Sorcerer's Stone (Harry Potter, #1),49,10
The Hobbit or There and Back Again,372,9
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1),32,10
The Hunger Games (The Hunger Games, #1),243,10
The Lord of the Rings (The Lord of the Rings, #1-3),30,0
Alice in Wonderland,44,10
Dune (Dune Chronicles, #1),295,8
The Final Empire (Mistborn, #1),246,8
The Lightning Thief (Percy Jackson and the Olympians, #1),161,10
1989,134,6
A Clash of Kings  (A Song of Ice and Fire, #2),177,8
The Golden Compass (His Dark Materials, #1),97,10
The Handmaid's Tale,215,9
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5),39,10
The Little Prince,188,10
The Chronicles of Narnia (Chronicles of Narnia, #1-7),49,9
Archibald Finch and the Lost Witches (Book 1, illustrated),336,8
The Giver (The Giver, #1),126,9
The Way of Kings (The Stormlight Archive, #1),185,10
The Wonderful Wizard of Oz (Oz, #1),129,6
Ready Player One,161,10
Fahrenheit 456,394,10
Neverwhere (London Below, #1),45,8
Alice's Adventures in Wonderland & Through the Looking-Glass,173,9
A Wrinkle in Time (Time Quintet, #1),45,10
The Name of the Wind (The Kingkiller Chronicle, #1),163,9
Divergent (Divergent, #1),330,6
Harry Potter and the Order of the Phoenix (Harry Potter, #5),247,8
City of Bones (The Mortal Instruments, #1),148,10
Ender's Game (Ender's Saga, #1),242,10
Six of Crows (Six of Crows, #1),335,10
The Wheel of Time: Boxed Set  (Wheel of Time, #1-8),161,9
Shadow and Bone (The Shadow and Bone Trilogy, #1),49,7
Gulliver's Travels,49,5
American Gods (American Gods #1),142,8
The Gunslinger (The Dark Tower, #1),189,10
The Colour of Magic (Discworld, #1),331,10
A Darker Shade of Magic (Shades of Magic, #1),368,10
The Night Circus,300,7
Cinder (The Lunar Chronicles, #1),120,8
Lord of the Flies,234,9
Watership Down (Watership Down, #1),174,10
Brave New World,169,5
A Game of Villains (World of Karik, #1),180,9
A Song of Ice and Fire (A Song of Ice and Fire, #1-5),174,10
Graceling (Graceling Realm, #1),208,5
Howl's Moving Castle (Howl's Moving Castle, #1),295,10
Inkheart (Inkworld, #1),177,9
The Phantom Tollbooth,10,10
The Neverending Story,275,9
The BFG,49,9
Twilight (Twilight, #1),175,10
The Left Hand of Darkness (Hainish Cycle #4),49,10
A Court of Thorns and Roses (A Court of Thorns and Roses, #1),168,9
A Wizard of Earthsea (Earthsea Cycle, #1),148,10
Eragon (The Inheritance Cycle, #1),32,1
The Lies of Locke Lamora (Gentleman Bastard, #1),401,8
Stardust,10,9
Sabriel,438,10
Do Androids Dream of Electric Sheep? (Blade Runner, #1),39,9
Harry Potter and the Chamber of Secrets (Harry Potter, #2),161,9
Redwall (Redwall, #1),71,10
Jonathan Strange & Mr Norrell,195,9
Dragonflight (Dragonriders of Pern, #1),71,8
The Maze Runner (The Maze Runner, #1),126,10
City of Ashes (The Mortal Instruments, #2),188,7
Magician: Apprentice (The Riftwar Saga, #1),177,8
Dark Lover (Black Dagger Brotherhood, #1),48,10
Alanna: The First Adventure (Song of the Lioness, #1),280,7
A Canticle for Leibowitz (St. Leibowitz, #1),225,9
Old Man's War (Old Man's War, #1),141,10
The Princess Bride,137,8
Neuromancer (Sprawl, #1),49,10
Nine Princes in Amber (The Chronicles of Amber #1),191,10
Magic Bites (Kate Daniels, #1),208,10
Kushiel's Dart (Phèdre's Trilogy, #1),105,9
The High King (The Chronicles of Prydain #5),120,8
Pyramids (Discworld, #7),193,9
Ship of Magic (Liveship Traders, #1),206,5
City of Lost Souls (The Mortal Instruments, #5),282,10
Lover Awakened (Black Dagger Brotherhood, #3),126,9
The Host (The Host, #1),260,10
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1),142,9
Rendezvous with Rama (Rama, #1),49,10
Leviathan Wakes (The Expanse, #1),71,8
Throne of Glass (Throne of Glass, #1),129,10
Angelfall (Penryn & the End of Days, #1),171,7
The Fifth Season (The Broken Earth, #1),49,10
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch,3,5
The Dispossessed (Hainish Cycle #6),1001,1
adventures of wallanders,303,10
The Once and Future King (The Once and Future King, #1-4),412,10
The Foundation Trilogy (Foundation, #1-3),125,10
The Octunnumi Fosbit Files Prologue,218,9
Snow Crash,333,9
Written in Red (The Others, #1),138,9
The Ship Who Sang (Brainship, #1),227,10
The Voyage of the Dawn Treader (Chronicles of Narnia, #3),14,10
A Face Like Glass,97,10
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,39,10
Harry Potter and the Sorcerer's Stone (Harry Potter, #1),161,10
The Hobbit or There and Back Again,134,9
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1),160,10
The Hunger Games (The Hunger Games, #1),49,10
